"Statistic Label","CensusYear","General Health","Sex","County and City","Age Group","UNIT","VALUE"
"Population","2011","General health - All","Both sexes","Carlow","40 - 44 years","Number","3929"
"Population","2011","General health - All","Both sexes","Carlow","45 - 49 years","Number","3601"
"Population","2011","General health - All","Both sexes","Carlow","50 - 54 years","Number","3287"
"Population","2011","General health - All","Both sexes","Carlow","55 - 59 years","Number","2876"
"Population","2011","General health - All","Both sexes","Carlow","60 - 64 years","Number","2580"
"Population","2011","General health - All","Both sexes","Carlow","65 - 69 years","Number","2036"
"Population","2011","General health - All","Both sexes","Carlow","70 - 74 years","Number","1565"
"Population","2011","General health - All","Both sexes","Carlow","75 - 79 years","Number","1146"
"Population","2011","General health - All","Both sexes","Carlow","80 - 84 years","Number","818"
"Population","2011","General health - All","Both sexes","Carlow","85 years and over","Number","646"
"Population","2011","General health - All","Both sexes","Dublin City","All ages","Number","527612"
"Population","2011","General health - All","Both sexes","Dublin City","0 - 4 years","Number","30250"
"Population","2011","General health - All","Both sexes","Dublin City","5 - 9 years","Number","24686"
"Population","2011","General health - All","Both sexes","Dublin City","10 - 14 years","Number","25093"
"Population","2011","General health - All","Both sexes","Dublin City","15 - 19 years","Number","29214"
"Population","2011","General health - All","Both sexes","Dublin City","20 - 24 years","Number","47406"
"Population","2011","General health - All","Both sexes","Dublin City","25 - 29 years","Number","62411"
"Population","2011","General health - All","Both sexes","Dublin City","30 - 34 years","Number","56889"
"Population","2011","General health - All","Both sexes","Dublin City","35 - 39 years","Number","41783"
"Population","2011","General health - All","Both sexes","Dublin City","40 - 44 years","Number","35007"
"Population","2011","General health - All","Both sexes","Dublin City","45 - 49 years","Number","32287"
"Population","2011","General health - All","Both sexes","Dublin City","50 - 54 years","Number","28915"
"Population","2011","General health - All","Both sexes","Dublin City","55 - 59 years","Number","24666"
"Population","2011","General health - All","Both sexes","Dublin City","60 - 64 years","Number","22515"
"Population","2011","General health - All","Both sexes","Dublin City","65 - 69 years","Number","18459"
"Population","2011","General health - All","Both sexes","Dublin City","70 - 74 years","Number","16433"
"Population","2011","General health - All","Both sexes","Dublin City","75 - 79 years","Number","13793"
"Population","2011","General health - All","Both sexes","Dublin City","80 - 84 years","Number","9912"
"Population","2011","General health - All","Both sexes","Dublin City","85 years and over","Number","7893"
"Population","2011","General health - All","Both sexes","Donegal","All ages","Number","161137"
"Population","2011","General health - All","Both sexes","Donegal","0 - 4 years","Number","12727"
"Population","2011","General health - All","Both sexes","Donegal","5 - 9 years","Number","12216"
"Population","2011","General health - All","Both sexes","Donegal","10 - 14 years","Number","12006"
"Population","2011","General health - All","Both sexes","Donegal","15 - 19 years","Number","10538"
"Population","2011","General health - All","Both sexes","Donegal","20 - 24 years","Number","9229"
"Population","2011","General health - All","Both sexes","Donegal","25 - 29 years","Number","10171"
"Population","2011","General health - All","Both sexes","Donegal","30 - 34 years","Number","11729"
"Population","2011","General health - All","Both sexes","Donegal","35 - 39 years","Number","11844"
"Population","2011","General health - All","Both sexes","Donegal","40 - 44 years","Number","11657"
"Population","2011","General health - All","Both sexes","Donegal","45 - 49 years","Number","10634"
"Population","2011","General health - All","Both sexes","Donegal","50 - 54 years","Number","9506"
"Population","2011","General health - All","Both sexes","Donegal","55 - 59 years","Number","8965"
"Population","2011","General health - All","Both sexes","Donegal","60 - 64 years","Number","8444"
"Population","2011","General health - All","Both sexes","Donegal","65 - 69 years","Number","6998"
"Population","2011","General health - All","Both sexes","Donegal","70 - 74 years","Number","5232"
"Population","2011","General health - All","Both sexes","Donegal","75 - 79 years","Number","3963"
"Population","2011","General health - All","Both sexes","Donegal","80 - 84 years","Number","2771"
"Population","2011","General health - All","Both sexes","Donegal","85 years and over","Number","2507"
"Population","2011","General health - All","Both sexes","Dún Laoghaire-Rathdown","All ages","Number","206261"
"Population","2011","General health - All","Both sexes","Dún Laoghaire-Rathdown","0 - 4 years","Number","13155"
"Population","2011","General health - All","Both sexes","Dún Laoghaire-Rathdown","5 - 9 years","Number","12050"
"Population","2011","General health - All","Both sexes","Dún Laoghaire-Rathdown","10 - 14 years","Number","12330"
"Population","2011","General health - All","Both sexes","Dún Laoghaire-Rathdown","15 - 19 years","Number","13676"
"Population","2011","General health - All","Both sexes","Dún Laoghaire-Rathdown","20 - 24 years","Number","15257"
"Population","2011","General health - All","Both sexes","Dún Laoghaire-Rathdown","25 - 29 years","Number","15809"
"Population","2011","General health - All","Both sexes","Dún Laoghaire-Rathdown","30 - 34 years","Number","16242"
"Population","2011","General health - All","Both sexes","Dún Laoghaire-Rathdown","35 - 39 years","Number","14728"
"Population","2011","General health - All","Both sexes","Dún Laoghaire-Rathdown","40 - 44 years","Number","14128"
"Population","2011","General health - All","Both sexes","Dún Laoghaire-Rathdown","45 - 49 years","Number","14329"
"Population","2011","General health - All","Both sexes","Dún Laoghaire-Rathdown","50 - 54 years","Number","13032"
"Population","2011","General health - All","Both sexes","Dún Laoghaire-Rathdown","55 - 59 years","Number","11487"
"Population","2011","General health - All","Both sexes","Dún Laoghaire-Rathdown","60 - 64 years","Number","10166"
"Population","2011","General health - All","Both sexes","Dún Laoghaire-Rathdown","65 - 69 years","Number","8891"
"Population","2011","General health - All","Both sexes","Dún Laoghaire-Rathdown","70 - 74 years","Number","7470"
"Population","2011","General health - All","Both sexes","Dún Laoghaire-Rathdown","75 - 79 years","Number","5948"
"Population","2011","General health - All","Both sexes","Dún Laoghaire-Rathdown","80 - 84 years","Number","4154"
"Population","2011","General health - All","Both sexes","Dún Laoghaire-Rathdown","85 years and over","Number","3409"
"Population","2011","General health - All","Both sexes","Fingal","All ages","Number","273991"
"Population","2011","General health - All","Both sexes","Fingal","0 - 4 years","Number","26708"
"Population","2011","General health - All","Both sexes","Fingal","5 - 9 years","Number","22052"
"Population","2011","General health - All","Both sexes","Fingal","10 - 14 years","Number","17647"
"Population","2011","General health - All","Both sexes","Fingal","15 - 19 years","Number","15648"
"Population","2011","General health - All","Both sexes","Fingal","20 - 24 years","Number","16971"
"Population","2011","General health - All","Both sexes","Fingal","25 - 29 years","Number","24007"
"Population","2011","General health - All","Both sexes","Fingal","30 - 34 years","Number","28976"
"Population","2011","General health - All","Both sexes","Fingal","35 - 39 years","Number","26448"
"Population","2011","General health - All","Both sexes","Fingal","40 - 44 years","Number","20881"
"Population","2011","General health - All","Both sexes","Fingal","45 - 49 years","Number","17185"
"Population","2011","General health - All","Both sexes","Fingal","50 - 54 years","Number","14664"
"Population","2011","General health - All","Both sexes","Fingal","55 - 59 years","Number","12418"
"Population","2011","General health - All","Both sexes","Fingal","60 - 64 years","Number","10525"
"Population","2011","General health - All","Both sexes","Fingal","65 - 69 years","Number","7861"
"Population","2011","General health - All","Both sexes","Fingal","70 - 74 years","Number","4956"
"Population","2011","General health - All","Both sexes","Fingal","75 - 79 years","Number","3355"
"Population","2011","General health - All","Both sexes","Fingal","80 - 84 years","Number","2015"
"Population","2011","General health - All","Both sexes","Fingal","85 years and over","Number","1674"
"Population","2011","General health - All","Both sexes","Galway City","All ages","Number","75529"
"Population","2011","General health - All","Both sexes","Galway City","0 - 4 years","Number","4869"
"Population","2011","General health - All","Both sexes","Galway City","5 - 9 years","Number","4046"
"Population","2011","General health - All","Both sexes","Galway City","10 - 14 years","Number","3578"
"Population","2011","General health - All","Both sexes","Galway City","15 - 19 years","Number","4953"
"Population","2011","General health - All","Both sexes","Galway City","20 - 24 years","Number","8373"
"Population","2011","General health - All","Both sexes","Galway City","25 - 29 years","Number","9302"
"Population","2011","General health - All","Both sexes","Galway City","30 - 34 years","Number","8598"
"Population","2011","General health - All","Both sexes","Galway City","35 - 39 years","Number","6051"
"Population","2011","General health - All","Both sexes","Galway City","40 - 44 years","Number","4540"
"Population","2011","General health - All","Both sexes","Galway City","45 - 49 years","Number","4072"
"Population","2011","General health - All","Both sexes","Galway City","50 - 54 years","Number","3726"
"Population","2011","General health - All","Both sexes","Galway City","55 - 59 years","Number","3415"
"Population","2011","General health - All","Both sexes","Galway City","60 - 64 years","Number","2947"
"Population","2011","General health - All","Both sexes","Galway City","65 - 69 years","Number","2407"
"Population","2011","General health - All","Both sexes","Galway City","70 - 74 years","Number","1718"
"Population","2011","General health - All","Both sexes","Galway City","75 - 79 years","Number","1298"
"Population","2011","General health - All","Both sexes","Galway City","80 - 84 years","Number","918"
"Population","2011","General health - All","Both sexes","Galway City","85 years and over","Number","718"
"Population","2011","General health - All","Both sexes","Galway County","All ages","Number","175124"
"Population","2011","General health - All","Both sexes","Galway County","0 - 4 years","Number","14091"
"Population","2011","General health - All","Both sexes","Galway County","5 - 9 years","Number","13310"
"Population","2011","General health - All","Both sexes","Galway County","10 - 14 years","Number","12292"
"Population","2011","General health - All","Both sexes","Galway County","15 - 19 years","Number","10970"
"Population","2011","General health - All","Both sexes","Galway County","20 - 24 years","Number","8971"
"Population","2011","General health - All","Both sexes","Galway County","25 - 29 years","Number","10497"
"Population","2011","General health - All","Both sexes","Galway County","30 - 34 years","Number","13235"
"Population","2011","General health - All","Both sexes","Galway County","35 - 39 years","Number","14131"
"Population","2011","General health - All","Both sexes","Galway County","40 - 44 years","Number","13451"
"Population","2011","General health - All","Both sexes","Galway County","45 - 49 years","Number","12160"
"Population","2011","General health - All","Both sexes","Galway County","50 - 54 years","Number","11198"
"Population","2011","General health - All","Both sexes","Galway County","55 - 59 years","Number","10038"
"Population","2011","General health - All","Both sexes","Galway County","60 - 64 years","Number","8790"
"Population","2011","General health - All","Both sexes","Galway County","65 - 69 years","Number","6967"
"Population","2011","General health - All","Both sexes","Galway County","70 - 74 years","Number","5202"
"Population","2011","General health - All","Both sexes","Galway County","75 - 79 years","Number","4167"
"Population","2011","General health - All","Both sexes","Galway County","80 - 84 years","Number","2932"
"Population","2011","General health - All","Both sexes","Galway County","85 years and over","Number","2722"
"Population","2011","General health - All","Both sexes","Kildare","All ages","Number","210312"
"Population","2011","General health - All","Both sexes","Kildare","0 - 4 years","Number","18914"
"Population","2011","General health - All","Both sexes","Kildare","5 - 9 years","Number","17340"
"Population","2011","General health - All","Both sexes","Kildare","10 - 14 years","Number","15314"
"Population","2011","General health - All","Both sexes","Kildare","15 - 19 years","Number","13218"
"Population","2011","General health - All","Both sexes","Kildare","20 - 24 years","Number","13046"
"Population","2011","General health - All","Both sexes","Kildare","25 - 29 years","Number","16244"
"Population","2011","General health - All","Both sexes","Kildare","30 - 34 years","Number","18850"
"Population","2011","General health - All","Both sexes","Kildare","35 - 39 years","Number","18798"
"Population","2011","General health - All","Both sexes","Kildare","40 - 44 years","Number","16564"
"Population","2011","General health - All","Both sexes","Kildare","45 - 49 years","Number","14289"
"Population","2011","General health - All","Both sexes","Kildare","50 - 54 years","Number","12073"
"Population","2011","General health - All","Both sexes","Kildare","55 - 59 years","Number","10322"
"Population","2011","General health - All","Both sexes","Kildare","60 - 64 years","Number","8684"
"Population","2011","General health - All","Both sexes","Kildare","65 - 69 years","Number","6336"
"Population","2011","General health - All","Both sexes","Kildare","70 - 74 years","Number","3987"
"Population","2011","General health - All","Both sexes","Kildare","75 - 79 years","Number","2770"
"Population","2011","General health - All","Both sexes","Kildare","80 - 84 years","Number","1870"
"Population","2011","General health - All","Both sexes","Kildare","85 years and over","Number","1693"
"Population","2011","General health - All","Both sexes","Kilkenny","All ages","Number","95419"
"Population","2011","General health - All","Both sexes","Kilkenny","0 - 4 years","Number","7501"
"Population","2011","General health - All","Both sexes","Kilkenny","5 - 9 years","Number","6925"
"Population","2011","General health - All","Both sexes","Kilkenny","10 - 14 years","Number","6774"
"Population","2011","General health - All","Both sexes","Kilkenny","15 - 19 years","Number","6080"
"Population","2011","General health - All","Both sexes","Kilkenny","20 - 24 years","Number","5182"
"Population","2011","General health - All","Both sexes","Kilkenny","25 - 29 years","Number","6399"
"Population","2011","General health - All","Both sexes","Kilkenny","30 - 34 years","Number","7568"
"Population","2011","General health - All","Both sexes","Kilkenny","35 - 39 years","Number","7628"
"Population","2011","General health - All","Both sexes","Kilkenny","40 - 44 years","Number","6880"
"Population","2011","General health - All","Both sexes","Kilkenny","45 - 49 years","Number","6567"
"Population","2011","General health - All","Both sexes","Kilkenny","50 - 54 years","Number","6138"
"Population","2011","General health - All","Both sexes","Kilkenny","55 - 59 years","Number","5365"
"Population","2011","General health - All","Both sexes","Kilkenny","60 - 64 years","Number","4722"
"Population","2011","General health - All","Both sexes","Kilkenny","65 - 69 years","Number","3845"
"Population","2011","General health - All","Both sexes","Kilkenny","70 - 74 years","Number","2748"
"Population","2011","General health - All","Both sexes","Kilkenny","75 - 79 years","Number","2229"
"Population","2011","General health - All","Both sexes","Kilkenny","80 - 84 years","Number","1518"
"Population","2011","General health - All","Both sexes","Kilkenny","85 years and over","Number","1350"
"Population","2011","General health - All","Both sexes","Kerry","All ages","Number","145502"
"Population","2011","General health - All","Both sexes","Kerry","0 - 4 years","Number","10025"
"Population","2011","General health - All","Both sexes","Kerry","5 - 9 years","Number","9614"
"Population","2011","General health - All","Both sexes","Kerry","10 - 14 years","Number","9713"
"Population","2011","General health - All","Both sexes","Kerry","15 - 19 years","Number","8731"
"Population","2011","General health - All","Both sexes","Kerry","20 - 24 years","Number","7580"
"Population","2011","General health - All","Both sexes","Kerry","25 - 29 years","Number","9631"
"Population","2011","General health - All","Both sexes","Kerry","30 - 34 years","Number","10835"
"Population","2011","General health - All","Both sexes","Kerry","35 - 39 years","Number","10724"
"Population","2011","General health - All","Both sexes","Kerry","40 - 44 years","Number","10410"
"Population","2011","General health - All","Both sexes","Kerry","45 - 49 years","Number","10116"
"Population","2011","General health - All","Both sexes","Kerry","50 - 54 years","Number","9698"
"Population","2011","General health - All","Both sexes","Kerry","55 - 59 years","Number","8975"
"Population","2011","General health - All","Both sexes","Kerry","60 - 64 years","Number","8462"
"Population","2011","General health - All","Both sexes","Kerry","65 - 69 years","Number","6911"
"Population","2011","General health - All","Both sexes","Kerry","70 - 74 years","Number","5068"
"Population","2011","General health - All","Both sexes","Kerry","75 - 79 years","Number","3956"
"Population","2011","General health - All","Both sexes","Kerry","80 - 84 years","Number","2759"
"Population","2011","General health - All","Both sexes","Kerry","85 years and over","Number","2294"
"Population","2011","General health - All","Both sexes","Longford","All ages","Number","39000"
"Population","2011","General health - All","Both sexes","Longford","0 - 4 years","Number","3241"
"Population","2011","General health - All","Both sexes","Longford","5 - 9 years","Number","3074"
"Population","2011","General health - All","Both sexes","Longford","10 - 14 years","Number","2730"
"Population","2011","General health - All","Both sexes","Longford","15 - 19 years","Number","2371"
"Population","2011","General health - All","Both sexes","Longford","20 - 24 years","Number","2157"
"Population","2011","General health - All","Both sexes","Longford","25 - 29 years","Number","2718"
"Population","2011","General health - All","Both sexes","Longford","30 - 34 years","Number","2985"
"Population","2011","General health - All","Both sexes","Longford","35 - 39 years","Number","2880"
"Population","2011","General health - All","Both sexes","Longford","40 - 44 years","Number","2807"
"Population","2011","General health - All","Both sexes","Longford","45 - 49 years","Number","2480"
"Population","2011","General health - All","Both sexes","Longford","50 - 54 years","Number","2344"
"Population","2011","General health - All","Both sexes","Longford","55 - 59 years","Number","2272"
"Population","2011","General health - All","Both sexes","Longford","60 - 64 years","Number","2058"
"Population","2011","General health - All","Both sexes","Longford","65 - 69 years","Number","1633"
"Population","2011","General health - All","Both sexes","Longford","70 - 74 years","Number","1127"
"Population","2011","General health - All","Both sexes","Longford","75 - 79 years","Number","957"
"Population","2011","General health - All","Both sexes","Longford","80 - 84 years","Number","628"
"Population","2011","General health - All","Both sexes","Longford","85 years and over","Number","538"
"Population","2011","General health - All","Both sexes","Louth","All ages","Number","122897"
"Population","2011","General health - All","Both sexes","Louth","0 - 4 years","Number","10411"
"Population","2011","General health - All","Both sexes","Louth","5 - 9 years","Number","9507"
"Population","2011","General health - All","Both sexes","Louth","10 - 14 years","Number","8744"
"Population","2011","General health - All","Both sexes","Louth","15 - 19 years","Number","7581"
"Population","2011","General health - All","Both sexes","Louth","20 - 24 years","Number","7862"
"Population","2011","General health - All","Both sexes","Louth","25 - 29 years","Number","9030"
"Population","2011","General health - All","Both sexes","Louth","30 - 34 years","Number","9986"
"Population","2011","General health - All","Both sexes","Louth","35 - 39 years","Number","9943"
"Population","2011","General health - All","Both sexes","Louth","40 - 44 years","Number","9323"
"Population","2011","General health - All","Both sexes","Louth","45 - 49 years","Number","8248"
"Population","2011","General health - All","Both sexes","Louth","50 - 54 years","Number","7044"
"Population","2011","General health - All","Both sexes","Louth","55 - 59 years","Number","6220"
"Population","2011","General health - All","Both sexes","Louth","60 - 64 years","Number","5521"
"Population","2011","General health - All","Both sexes","Louth","65 - 69 years","Number","4488"
"Population","2011","General health - All","Both sexes","Louth","70 - 74 years","Number","3364"
"Population","2011","General health - All","Both sexes","Louth","75 - 79 years","Number","2471"
"Population","2011","General health - All","Both sexes","Louth","80 - 84 years","Number","1702"
"Population","2011","General health - All","Both sexes","Louth","85 years and over","Number","1452"
"Population","2011","General health - All","Both sexes","Limerick City and County","All ages","Number","191809"
"Population","2011","General health - All","Both sexes","Limerick City and County","0 - 4 years","Number","14194"
"Population","2011","General health - All","Both sexes","Limerick City and County","5 - 9 years","Number","12526"
"Population","2011","General health - All","Both sexes","Limerick City and County","10 - 14 years","Number","12344"
"Population","2011","General health - All","Both sexes","Limerick City and County","15 - 19 years","Number","12933"
"Population","2011","General health - All","Both sexes","Limerick City and County","20 - 24 years","Number","14119"
"Population","2011","General health - All","Both sexes","Limerick City and County","25 - 29 years","Number","14787"
"Population","2011","General health - All","Both sexes","Limerick City and County","30 - 34 years","Number","15777"
"Population","2011","General health - All","Both sexes","Limerick City and County","35 - 39 years","Number","14360"
"Population","2011","General health - All","Both sexes","Limerick City and County","40 - 44 years","Number","13097"
"Population","2011","General health - All","Both sexes","Limerick City and County","45 - 49 years","Number","12338"
"Population","2011","General health - All","Both sexes","Limerick City and County","50 - 54 years","Number","11643"
"Population","2011","General health - All","Both sexes","Limerick City and County","55 - 59 years","Number","10696"
"Population","2011","General health - All","Both sexes","Limerick City and County","60 - 64 years","Number","9682"
"Population","2011","General health - All","Both sexes","Limerick City and County","65 - 69 years","Number","7693"
"Population","2011","General health - All","Both sexes","Limerick City and County","70 - 74 years","Number","5907"
"Population","2011","General health - All","Both sexes","Limerick City and County","75 - 79 years","Number","4393"
"Population","2011","General health - All","Both sexes","Limerick City and County","80 - 84 years","Number","2932"
"Population","2011","General health - All","Both sexes","Limerick City and County","85 years and over","Number","2388"
"Population","2011","General health - All","Both sexes","Leitrim","All ages","Number","31798"
"Population","2011","General health - All","Both sexes","Leitrim","0 - 4 years","Number","2456"
"Population","2011","General health - All","Both sexes","Leitrim","5 - 9 years","Number","2294"
"Population","2011","General health - All","Both sexes","Leitrim","10 - 14 years","Number","2129"
"Population","2011","General health - All","Both sexes","Leitrim","15 - 19 years","Number","1778"
"Population","2011","General health - All","Both sexes","Leitrim","20 - 24 years","Number","1476"
"Population","2011","General health - All","Both sexes","Leitrim","25 - 29 years","Number","1980"
"Population","2011","General health - All","Both sexes","Leitrim","30 - 34 years","Number","2335"
"Population","2011","General health - All","Both sexes","Leitrim","35 - 39 years","Number","2363"
"Population","2011","General health - All","Both sexes","Leitrim","40 - 44 years","Number","2223"
"Population","2011","General health - All","Both sexes","Leitrim","45 - 49 years","Number","2158"
"Population","2011","General health - All","Both sexes","Leitrim","50 - 54 years","Number","2143"
"Population","2011","General health - All","Both sexes","Leitrim","55 - 59 years","Number","2024"
"Population","2011","General health - All","Both sexes","Leitrim","60 - 64 years","Number","1733"
"Population","2011","General health - All","Both sexes","Leitrim","65 - 69 years","Number","1406"
"Population","2011","General health - All","Both sexes","Leitrim","70 - 74 years","Number","1107"
"Population","2011","General health - All","Both sexes","Leitrim","75 - 79 years","Number","927"
"Population","2011","General health - All","Both sexes","Leitrim","80 - 84 years","Number","684"
"Population","2011","General health - All","Both sexes","Leitrim","85 years and over","Number","582"
"Population","2011","General health - All","Both sexes","Laois","All ages","Number","80559"
"Population","2011","General health - All","Both sexes","Laois","0 - 4 years","Number","7538"
"Population","2011","General health - All","Both sexes","Laois","5 - 9 years","Number","6608"
"Population","2011","General health - All","Both sexes","Laois","10 - 14 years","Number","5767"
"Population","2011","General health - All","Both sexes","Laois","15 - 19 years","Number","4666"
"Population","2011","General health - All","Both sexes","Laois","20 - 24 years","Number","4708"
"Population","2011","General health - All","Both sexes","Laois","25 - 29 years","Number","6315"
"Population","2011","General health - All","Both sexes","Laois","30 - 34 years","Number","7094"
"Population","2011","General health - All","Both sexes","Laois","35 - 39 years","Number","6570"
"Population","2011","General health - All","Both sexes","Laois","40 - 44 years","Number","6057"
"Population","2011","General health - All","Both sexes","Laois","45 - 49 years","Number","5200"
"Population","2011","General health - All","Both sexes","Laois","50 - 54 years","Number","4628"
"Population","2011","General health - All","Both sexes","Laois","55 - 59 years","Number","3975"
"Population","2011","General health - All","Both sexes","Laois","60 - 64 years","Number","3333"
"Population","2011","General health - All","Both sexes","Laois","65 - 69 years","Number","2664"
"Population","2011","General health - All","Both sexes","Laois","70 - 74 years","Number","1946"
"Population","2011","General health - All","Both sexes","Laois","75 - 79 years","Number","1556"
"Population","2011","General health - All","Both sexes","Laois","80 - 84 years","Number","1109"
"Population","2011","General health - All","Both sexes","Laois","85 years and over","Number","825"
