"Sex","Province or County","CensusYear","Statistic Label","UNIT","VALUE"
"Both sexes","State","1946","Annual Rate of Population Increase","No. per 1000 Pop.","-0.4"
"Both sexes","State","1951","Population","Number","2960593"
"Both sexes","State","1951","Population Change since previous Census","Number","5486"
"Both sexes","State","1951","Annual Rate of Population Increase","No. per 1000 Pop.","0.4"
"Both sexes","State","1956","Population","Number","2898264"
"Both sexes","State","1956","Population Change since previous Census","Number","-62329"
"Both sexes","State","1956","Annual Rate of Population Increase","No. per 1000 Pop.","-4.2"
"Both sexes","State","1961","Population","Number","2818341"
"Both sexes","State","1961","Population Change since previous Census","Number","-79923"
"Both sexes","State","1961","Annual Rate of Population Increase","No. per 1000 Pop.","-5.6"
"Both sexes","State","1966","Population","Number","2884002"
"Both sexes","State","1966","Population Change since previous Census","Number","65661"
"Both sexes","State","1966","Annual Rate of Population Increase","No. per 1000 Pop.","4.6"
"Both sexes","State","1971","Population","Number","2978248"
"Both sexes","State","1971","Population Change since previous Census","Number","94246"
"Both sexes","State","1971","Annual Rate of Population Increase","No. per 1000 Pop.","6.5"
"Both sexes","State","1979","Population","Number","3368217"
"Both sexes","State","1979","Population Change since previous Census","Number","389969"
"Both sexes","State","1979","Annual Rate of Population Increase","No. per 1000 Pop.","15.5"
"Both sexes","State","1981","Population","Number","3443405"
"Both sexes","State","1981","Population Change since previous Census","Number","75188"
"Both sexes","State","1981","Annual Rate of Population Increase","No. per 1000 Pop.","11.1"
"Both sexes","State","1986","Population","Number","3540643"
"Both sexes","State","1986","Population Change since previous Census","Number","97238"
"Both sexes","State","1986","Annual Rate of Population Increase","No. per 1000 Pop.","5.6"
"Both sexes","State","1991","Population","Number","3525719"
"Both sexes","State","1991","Population Change since previous Census","Number","-14924"
"Both sexes","State","1991","Annual Rate of Population Increase","No. per 1000 Pop.","-0.8"
"Both sexes","State","1996","Population","Number","3626087"
"Both sexes","State","1996","Population Change since previous Census","Number","100368"
"Both sexes","State","1996","Annual Rate of Population Increase","No. per 1000 Pop.","5.6"
"Both sexes","State","2002","Population","Number","3917203"
"Both sexes","State","2002","Population Change since previous Census","Number","291116"
"Both sexes","State","2002","Annual Rate of Population Increase","No. per 1000 Pop.","13"
"Both sexes","State","2006","Population","Number","4239848"
"Both sexes","State","2006","Population Change since previous Census","Number","322645"
"Both sexes","State","2006","Annual Rate of Population Increase","No. per 1000 Pop.","20"
"Both sexes","State","2011","Population","Number","4588252"
"Both sexes","State","2011","Population Change since previous Census","Number","348404"
"Both sexes","State","2011","Annual Rate of Population Increase","No. per 1000 Pop.","15.8"
"Both sexes","State","2016","Population","Number","4761865"
"Both sexes","State","2016","Population Change since previous Census","Number","173613"
"Both sexes","State","2016","Annual Rate of Population Increase","No. per 1000 Pop.","7.4"
"Both sexes","Leinster","1841","Population","Number","1973731"
"Both sexes","Leinster","1841","Population Change since previous Census","Number",""
"Both sexes","Leinster","1841","Annual Rate of Population Increase","No. per 1000 Pop.",""
"Both sexes","Leinster","1851","Population","Number","1672738"
"Both sexes","Leinster","1851","Population Change since previous Census","Number","-300993"
"Both sexes","Leinster","1851","Annual Rate of Population Increase","No. per 1000 Pop.","-16.4"
"Both sexes","Leinster","1861","Population","Number","1457635"
"Both sexes","Leinster","1861","Population Change since previous Census","Number","-215103"
"Both sexes","Leinster","1861","Annual Rate of Population Increase","No. per 1000 Pop.","-13.7"
"Both sexes","Leinster","1871","Population","Number","1339451"
"Both sexes","Leinster","1871","Population Change since previous Census","Number","-118184"
"Both sexes","Leinster","1871","Annual Rate of Population Increase","No. per 1000 Pop.","-8.4"
"Both sexes","Leinster","1881","Population","Number","1278989"
"Both sexes","Leinster","1881","Population Change since previous Census","Number","-60462"
"Both sexes","Leinster","1881","Annual Rate of Population Increase","No. per 1000 Pop.","-4.6"
"Both sexes","Leinster","1891","Population","Number","1187760"
"Both sexes","Leinster","1891","Population Change since previous Census","Number","-91229"
"Both sexes","Leinster","1891","Annual Rate of Population Increase","No. per 1000 Pop.","-7.4"
"Both sexes","Leinster","1901","Population","Number","1152829"
"Both sexes","Leinster","1901","Population Change since previous Census","Number","-34931"
"Both sexes","Leinster","1901","Annual Rate of Population Increase","No. per 1000 Pop.","-3"
"Both sexes","Leinster","1911","Population","Number","1162044"
"Both sexes","Leinster","1911","Population Change since previous Census","Number","9215"
"Both sexes","Leinster","1911","Annual Rate of Population Increase","No. per 1000 Pop.","0.8"
"Both sexes","Leinster","1926","Population","Number","1149092"
"Both sexes","Leinster","1926","Population Change since previous Census","Number","-12952"
"Both sexes","Leinster","1926","Annual Rate of Population Increase","No. per 1000 Pop.","-0.7"
"Both sexes","Leinster","1936","Population","Number","1220411"
"Both sexes","Leinster","1936","Population Change since previous Census","Number","71319"
"Both sexes","Leinster","1936","Annual Rate of Population Increase","No. per 1000 Pop.","6"
"Both sexes","Leinster","1946","Population","Number","1281117"
"Both sexes","Leinster","1946","Population Change since previous Census","Number","60706"
"Both sexes","Leinster","1946","Annual Rate of Population Increase","No. per 1000 Pop.","4.9"
"Both sexes","Leinster","1951","Population","Number","1336576"
"Both sexes","Leinster","1951","Population Change since previous Census","Number","55459"
"Both sexes","Leinster","1951","Annual Rate of Population Increase","No. per 1000 Pop.","8.5"
"Both sexes","Leinster","1956","Population","Number","1338942"
"Both sexes","Leinster","1956","Population Change since previous Census","Number","2366"
"Both sexes","Leinster","1956","Annual Rate of Population Increase","No. per 1000 Pop.","0.4"
"Both sexes","Leinster","1961","Population","Number","1332149"
"Both sexes","Leinster","1961","Population Change since previous Census","Number","-6793"
"Both sexes","Leinster","1961","Annual Rate of Population Increase","No. per 1000 Pop.","-1"
"Both sexes","Leinster","1966","Population","Number","1414415"
"Both sexes","Leinster","1966","Population Change since previous Census","Number","82266"
"Both sexes","Leinster","1966","Annual Rate of Population Increase","No. per 1000 Pop.","12.1"
"Both sexes","Leinster","1971","Population","Number","1498140"
"Both sexes","Leinster","1971","Population Change since previous Census","Number","83725"
"Both sexes","Leinster","1971","Annual Rate of Population Increase","No. per 1000 Pop.","11.6"
"Both sexes","Leinster","1979","Population","Number","1743861"
"Both sexes","Leinster","1979","Population Change since previous Census","Number","245721"
"Both sexes","Leinster","1979","Annual Rate of Population Increase","No. per 1000 Pop.","19.2"
"Both sexes","Leinster","1981","Population","Number","1790521"
"Both sexes","Leinster","1981","Population Change since previous Census","Number","46660"
"Both sexes","Leinster","1981","Annual Rate of Population Increase","No. per 1000 Pop.","13.3"
"Both sexes","Leinster","1986","Population","Number","1852649"
"Both sexes","Leinster","1986","Population Change since previous Census","Number","62128"
"Both sexes","Leinster","1986","Annual Rate of Population Increase","No. per 1000 Pop.","6.8"
"Both sexes","Leinster","1991","Population","Number","1860949"
"Both sexes","Leinster","1991","Population Change since previous Census","Number","8300"
"Both sexes","Leinster","1991","Annual Rate of Population Increase","No. per 1000 Pop.","0.9"
"Both sexes","Leinster","1996","Population","Number","1924702"
"Both sexes","Leinster","1996","Population Change since previous Census","Number","63753"
"Both sexes","Leinster","1996","Annual Rate of Population Increase","No. per 1000 Pop.","6.8"
"Both sexes","Leinster","2002","Population","Number","2105579"
"Both sexes","Leinster","2002","Population Change since previous Census","Number","180877"
"Both sexes","Leinster","2002","Annual Rate of Population Increase","No. per 1000 Pop.","15.1"
"Both sexes","Leinster","2006","Population","Number","2295123"
"Both sexes","Leinster","2006","Population Change since previous Census","Number","189544"
"Both sexes","Leinster","2006","Annual Rate of Population Increase","No. per 1000 Pop.","21.8"
"Both sexes","Leinster","2011","Population","Number","2504814"
"Both sexes","Leinster","2011","Population Change since previous Census","Number","209691"
"Both sexes","Leinster","2011","Annual Rate of Population Increase","No. per 1000 Pop.","17.5"
"Both sexes","Leinster","2016","Population","Number","2634403"
"Both sexes","Leinster","2016","Population Change since previous Census","Number","129589"
"Both sexes","Leinster","2016","Annual Rate of Population Increase","No. per 1000 Pop.","10.1"
"Both sexes","Carlow","1841","Population","Number","86228"
"Both sexes","Carlow","1841","Population Change since previous Census","Number",""
"Both sexes","Carlow","1841","Annual Rate of Population Increase","No. per 1000 Pop.",""
"Both sexes","Carlow","1851","Population","Number","68078"
"Both sexes","Carlow","1851","Population Change since previous Census","Number","-18150"
"Both sexes","Carlow","1851","Annual Rate of Population Increase","No. per 1000 Pop.","-23.4"
"Both sexes","Carlow","1861","Population","Number","57137"
"Both sexes","Carlow","1861","Population Change since previous Census","Number","-10941"
"Both sexes","Carlow","1861","Annual Rate of Population Increase","No. per 1000 Pop.","-17.4"
"Both sexes","Carlow","1871","Population","Number","51650"
"Both sexes","Carlow","1871","Population Change since previous Census","Number","-5487"
"Both sexes","Carlow","1871","Annual Rate of Population Increase","No. per 1000 Pop.","-10"
"Both sexes","Carlow","1881","Population","Number","46568"
"Both sexes","Carlow","1881","Population Change since previous Census","Number","-5082"
"Both sexes","Carlow","1881","Annual Rate of Population Increase","No. per 1000 Pop.","-10.3"
"Both sexes","Carlow","1891","Population","Number","40936"
"Both sexes","Carlow","1891","Population Change since previous Census","Number","-5632"
"Both sexes","Carlow","1891","Annual Rate of Population Increase","No. per 1000 Pop.","-12.8"
"Both sexes","Carlow","1901","Population","Number","37748"
"Both sexes","Carlow","1901","Population Change since previous Census","Number","-3188"
"Both sexes","Carlow","1901","Annual Rate of Population Increase","No. per 1000 Pop.","-8.1"
"Both sexes","Carlow","1911","Population","Number","36252"
"Both sexes","Carlow","1911","Population Change since previous Census","Number","-1496"
"Both sexes","Carlow","1911","Annual Rate of Population Increase","No. per 1000 Pop.","-4"
"Both sexes","Carlow","1926","Population","Number","34476"
"Both sexes","Carlow","1926","Population Change since previous Census","Number","-1776"
"Both sexes","Carlow","1926","Annual Rate of Population Increase","No. per 1000 Pop.","-3.3"
"Both sexes","Carlow","1936","Population","Number","34452"
"Both sexes","Carlow","1936","Population Change since previous Census","Number","-24"
"Both sexes","Carlow","1936","Annual Rate of Population Increase","No. per 1000 Pop.","-0.1"
"Both sexes","Carlow","1946","Population","Number","34081"
"Both sexes","Carlow","1946","Population Change since previous Census","Number","-371"
"Both sexes","Carlow","1946","Annual Rate of Population Increase","No. per 1000 Pop.","-1.1"
"Both sexes","Carlow","1951","Population","Number","34162"
"Both sexes","Carlow","1951","Population Change since previous Census","Number","81"
"Both sexes","Carlow","1951","Annual Rate of Population Increase","No. per 1000 Pop.","0.5"
"Both sexes","Carlow","1956","Population","Number","33888"
"Both sexes","Carlow","1956","Population Change since previous Census","Number","-274"
"Both sexes","Carlow","1956","Annual Rate of Population Increase","No. per 1000 Pop.","-1.6"
"Both sexes","Carlow","1961","Population","Number","33342"
"Both sexes","Carlow","1961","Population Change since previous Census","Number","-546"
"Both sexes","Carlow","1961","Annual Rate of Population Increase","No. per 1000 Pop.","-3.2"
"Both sexes","Carlow","1966","Population","Number","33593"
"Both sexes","Carlow","1966","Population Change since previous Census","Number","251"
"Both sexes","Carlow","1966","Annual Rate of Population Increase","No. per 1000 Pop.","1.5"
"Both sexes","Carlow","1971","Population","Number","34237"
"Both sexes","Carlow","1971","Population Change since previous Census","Number","644"
"Both sexes","Carlow","1971","Annual Rate of Population Increase","No. per 1000 Pop.","3.8"
"Both sexes","Carlow","1979","Population","Number","38668"
"Both sexes","Carlow","1979","Population Change since previous Census","Number","4431"
"Both sexes","Carlow","1979","Annual Rate of Population Increase","No. per 1000 Pop.","15.3"
"Both sexes","Carlow","1981","Population","Number","39820"
"Both sexes","Carlow","1981","Population Change since previous Census","Number","1152"
"Both sexes","Carlow","1981","Annual Rate of Population Increase","No. per 1000 Pop.","14.8"
"Both sexes","Carlow","1986","Population","Number","40988"
"Both sexes","Carlow","1986","Population Change since previous Census","Number","1168"
"Both sexes","Carlow","1986","Annual Rate of Population Increase","No. per 1000 Pop.","5.8"
"Both sexes","Carlow","1991","Population","Number","40942"
"Both sexes","Carlow","1991","Population Change since previous Census","Number","-46"
"Both sexes","Carlow","1991","Annual Rate of Population Increase","No. per 1000 Pop.","-0.2"
"Both sexes","Carlow","1996","Population","Number","41616"
"Both sexes","Carlow","1996","Population Change since previous Census","Number","674"
"Both sexes","Carlow","1996","Annual Rate of Population Increase","No. per 1000 Pop.","3.3"
"Both sexes","Carlow","2002","Population","Number","46014"
"Both sexes","Carlow","2002","Population Change since previous Census","Number","4398"
"Both sexes","Carlow","2002","Annual Rate of Population Increase","No. per 1000 Pop.","16.9"
"Both sexes","Carlow","2006","Population","Number","50349"
"Both sexes","Carlow","2006","Population Change since previous Census","Number","4335"
"Both sexes","Carlow","2006","Annual Rate of Population Increase","No. per 1000 Pop.","22.8"
"Both sexes","Carlow","2011","Population","Number","54612"
"Both sexes","Carlow","2011","Population Change since previous Census","Number","4263"
"Both sexes","Carlow","2011","Annual Rate of Population Increase","No. per 1000 Pop.","16.2"
"Both sexes","Carlow","2016","Population","Number","56932"
"Both sexes","Carlow","2016","Population Change since previous Census","Number","2320"
"Both sexes","Carlow","2016","Annual Rate of Population Increase","No. per 1000 Pop.","8.3"
"Both sexes","Dublin","1841","Population","Number","372773"
"Both sexes","Dublin","1841","Population Change since previous Census","Number",""
"Both sexes","Dublin","1841","Annual Rate of Population Increase","No. per 1000 Pop.",""
"Both sexes","Dublin","1851","Population","Number","405147"
"Both sexes","Dublin","1851","Population Change since previous Census","Number","32374"
"Both sexes","Dublin","1851","Annual Rate of Population Increase","No. per 1000 Pop.","8.4"
"Both sexes","Dublin","1861","Population","Number","410252"
"Both sexes","Dublin","1861","Population Change since previous Census","Number","5105"
"Both sexes","Dublin","1861","Annual Rate of Population Increase","No. per 1000 Pop.","1.3"
"Both sexes","Dublin","1871","Population","Number","405262"
"Both sexes","Dublin","1871","Population Change since previous Census","Number","-4990"
"Both sexes","Dublin","1871","Annual Rate of Population Increase","No. per 1000 Pop.","-1.2"
"Both sexes","Dublin","1881","Population","Number","418910"
"Both sexes","Dublin","1881","Population Change since previous Census","Number","13648"
"Both sexes","Dublin","1881","Annual Rate of Population Increase","No. per 1000 Pop.","3.3"
"Both sexes","Dublin","1891","Population","Number","419216"
"Both sexes","Dublin","1891","Population Change since previous Census","Number","306"
"Both sexes","Dublin","1891","Annual Rate of Population Increase","No. per 1000 Pop.","0.1"
"Both sexes","Dublin","1901","Population","Number","448206"
"Both sexes","Dublin","1901","Population Change since previous Census","Number","28990"
"Both sexes","Dublin","1901","Annual Rate of Population Increase","No. per 1000 Pop.","6.7"
"Both sexes","Dublin","1911","Population","Number","477196"
"Both sexes","Dublin","1911","Population Change since previous Census","Number","28990"
"Both sexes","Dublin","1911","Annual Rate of Population Increase","No. per 1000 Pop.","6.3"
"Both sexes","Dublin","1926","Population","Number","505654"
"Both sexes","Dublin","1926","Population Change since previous Census","Number","28458"
"Both sexes","Dublin","1926","Annual Rate of Population Increase","No. per 1000 Pop.","3.9"
"Both sexes","Dublin","1936","Population","Number","586925"
"Both sexes","Dublin","1936","Population Change since previous Census","Number","81271"
"Both sexes","Dublin","1936","Annual Rate of Population Increase","No. per 1000 Pop.","15"
"Both sexes","Dublin","1946","Population","Number","636193"
"Both sexes","Dublin","1946","Population Change since previous Census","Number","49268"
"Both sexes","Dublin","1946","Annual Rate of Population Increase","No. per 1000 Pop.","8.1"
"Both sexes","Dublin","1951","Population","Number","693022"
"Both sexes","Dublin","1951","Population Change since previous Census","Number","56829"
"Both sexes","Dublin","1951","Annual Rate of Population Increase","No. per 1000 Pop.","17.3"
"Both sexes","Dublin","1956","Population","Number","705781"
"Both sexes","Dublin","1956","Population Change since previous Census","Number","12759"
"Both sexes","Dublin","1956","Annual Rate of Population Increase","No. per 1000 Pop.","3.7"
"Both sexes","Dublin","1961","Population","Number","718332"
"Both sexes","Dublin","1961","Population Change since previous Census","Number","12551"
"Both sexes","Dublin","1961","Annual Rate of Population Increase","No. per 1000 Pop.","3.5"
"Both sexes","Dublin","1966","Population","Number","795047"
"Both sexes","Dublin","1966","Population Change since previous Census","Number","76715"
"Both sexes","Dublin","1966","Annual Rate of Population Increase","No. per 1000 Pop.","20.5"
"Both sexes","Dublin","1971","Population","Number","852219"
"Both sexes","Dublin","1971","Population Change since previous Census","Number","57172"
"Both sexes","Dublin","1971","Annual Rate of Population Increase","No. per 1000 Pop.","14"
"Both sexes","Dublin","1979","Population","Number","983683"
"Both sexes","Dublin","1979","Population Change since previous Census","Number","131464"
"Both sexes","Dublin","1979","Annual Rate of Population Increase","No. per 1000 Pop.","18.1"
"Both sexes","Dublin","1981","Population","Number","1003164"
"Both sexes","Dublin","1981","Population Change since previous Census","Number","19481"
"Both sexes","Dublin","1981","Annual Rate of Population Increase","No. per 1000 Pop.","9.9"
"Both sexes","Dublin","1986","Population","Number","1021449"
"Both sexes","Dublin","1986","Population Change since previous Census","Number","18285"
"Both sexes","Dublin","1986","Annual Rate of Population Increase","No. per 1000 Pop.","3.6"
"Both sexes","Dublin","1991","Population","Number","1025304"
"Both sexes","Dublin","1991","Population Change since previous Census","Number","3855"
"Both sexes","Dublin","1991","Annual Rate of Population Increase","No. per 1000 Pop.","0.8"
"Both sexes","Dublin","1996","Population","Number","1058264"
"Both sexes","Dublin","1996","Population Change since previous Census","Number","32960"
"Both sexes","Dublin","1996","Annual Rate of Population Increase","No. per 1000 Pop.","6.3"
"Both sexes","Dublin","2002","Population","Number","1122821"
"Both sexes","Dublin","2002","Population Change since previous Census","Number","64557"
"Both sexes","Dublin","2002","Annual Rate of Population Increase","No. per 1000 Pop.","9.9"
"Both sexes","Dublin","2006","Population","Number","1187176"
"Both sexes","Dublin","2006","Population Change since previous Census","Number","64355"
"Both sexes","Dublin","2006","Annual Rate of Population Increase","No. per 1000 Pop.","14"
"Both sexes","Dublin","2011","Population","Number","1273069"
"Both sexes","Dublin","2011","Population Change since previous Census","Number","85893"
"Both sexes","Dublin","2011","Annual Rate of Population Increase","No. per 1000 Pop.","14"
"Both sexes","Dublin","2016","Population","Number","1347359"
"Both sexes","Dublin","2016","Population Change since previous Census","Number","74290"
"Both sexes","Dublin","2016","Annual Rate of Population Increase","No. per 1000 Pop.","11.3"
"Both sexes","Kildare","1841","Population","Number","114488"
"Both sexes","Kildare","1841","Population Change since previous Census","Number",""
"Both sexes","Kildare","1841","Annual Rate of Population Increase","No. per 1000 Pop.",""
"Both sexes","Kildare","1851","Population","Number","95723"
"Both sexes","Kildare","1851","Population Change since previous Census","Number","-18765"
"Both sexes","Kildare","1851","Annual Rate of Population Increase","No. per 1000 Pop.","-17.7"
"Both sexes","Kildare","1861","Population","Number","90946"
"Both sexes","Kildare","1861","Population Change since previous Census","Number","-4777"
"Both sexes","Kildare","1861","Annual Rate of Population Increase","No. per 1000 Pop.","-5.1"
"Both sexes","Kildare","1871","Population","Number","83614"
"Both sexes","Kildare","1871","Population Change since previous Census","Number","-7332"
"Both sexes","Kildare","1871","Annual Rate of Population Increase","No. per 1000 Pop.","-8.4"
"Both sexes","Kildare","1881","Population","Number","75804"
"Both sexes","Kildare","1881","Population Change since previous Census","Number","-7810"
"Both sexes","Kildare","1881","Annual Rate of Population Increase","No. per 1000 Pop.","-9.8"
"Both sexes","Kildare","1891","Population","Number","70206"
"Both sexes","Kildare","1891","Population Change since previous Census","Number","-5598"
"Both sexes","Kildare","1891","Annual Rate of Population Increase","No. per 1000 Pop.","-7.6"
"Both sexes","Kildare","1901","Population","Number","63566"
"Both sexes","Kildare","1901","Population Change since previous Census","Number","-6640"
"Both sexes","Kildare","1901","Annual Rate of Population Increase","No. per 1000 Pop.","-9.9"
"Both sexes","Kildare","1911","Population","Number","66627"
"Both sexes","Kildare","1911","Population Change since previous Census","Number","3061"
"Both sexes","Kildare","1911","Annual Rate of Population Increase","No. per 1000 Pop.","4.7"
"Both sexes","Kildare","1926","Population","Number","58028"
"Both sexes","Kildare","1926","Population Change since previous Census","Number","-8599"
"Both sexes","Kildare","1926","Annual Rate of Population Increase","No. per 1000 Pop.","-9.2"
"Both sexes","Kildare","1936","Population","Number","57892"
"Both sexes","Kildare","1936","Population Change since previous Census","Number","-136"
"Both sexes","Kildare","1936","Annual Rate of Population Increase","No. per 1000 Pop.","-0.2"
"Both sexes","Kildare","1946","Population","Number","64849"
"Both sexes","Kildare","1946","Population Change since previous Census","Number","6957"
"Both sexes","Kildare","1946","Annual Rate of Population Increase","No. per 1000 Pop.","11.4"
"Both sexes","Kildare","1951","Population","Number","66437"
"Both sexes","Kildare","1951","Population Change since previous Census","Number","1588"
"Both sexes","Kildare","1951","Annual Rate of Population Increase","No. per 1000 Pop.","4.9"
"Both sexes","Kildare","1956","Population","Number","65915"
"Both sexes","Kildare","1956","Population Change since previous Census","Number","-522"
"Both sexes","Kildare","1956","Annual Rate of Population Increase","No. per 1000 Pop.","-1.6"
"Both sexes","Kildare","1961","Population","Number","64420"
"Both sexes","Kildare","1961","Population Change since previous Census","Number","-1495"
"Both sexes","Kildare","1961","Annual Rate of Population Increase","No. per 1000 Pop.","-4.6"
"Both sexes","Kildare","1966","Population","Number","66404"
"Both sexes","Kildare","1966","Population Change since previous Census","Number","1984"
"Both sexes","Kildare","1966","Annual Rate of Population Increase","No. per 1000 Pop.","6.1"
"Both sexes","Kildare","1971","Population","Number","71977"
"Both sexes","Kildare","1971","Population Change since previous Census","Number","5573"
"Both sexes","Kildare","1971","Annual Rate of Population Increase","No. per 1000 Pop.","16.2"
"Both sexes","Kildare","1979","Population","Number","97185"
"Both sexes","Kildare","1979","Population Change since previous Census","Number","25208"
"Both sexes","Kildare","1979","Annual Rate of Population Increase","No. per 1000 Pop.","38.2"
"Both sexes","Kildare","1981","Population","Number","104122"
"Both sexes","Kildare","1981","Population Change since previous Census","Number","6937"
"Both sexes","Kildare","1981","Annual Rate of Population Increase","No. per 1000 Pop.","35.1"
"Both sexes","Kildare","1986","Population","Number","116247"
"Both sexes","Kildare","1986","Population Change since previous Census","Number","12125"
"Both sexes","Kildare","1986","Annual Rate of Population Increase","No. per 1000 Pop.","22.3"
"Both sexes","Kildare","1991","Population","Number","122656"
"Both sexes","Kildare","1991","Population Change since previous Census","Number","6409"
"Both sexes","Kildare","1991","Annual Rate of Population Increase","No. per 1000 Pop.","10.8"
"Both sexes","Kildare","1996","Population","Number","134992"
"Both sexes","Kildare","1996","Population Change since previous Census","Number","12336"
"Both sexes","Kildare","1996","Annual Rate of Population Increase","No. per 1000 Pop.","19.4"
"Both sexes","Kildare","2002","Population","Number","163944"
"Both sexes","Kildare","2002","Population Change since previous Census","Number","28952"
"Both sexes","Kildare","2002","Annual Rate of Population Increase","No. per 1000 Pop.","32.9"
"Both sexes","Kildare","2006","Population","Number","186335"
"Both sexes","Kildare","2006","Population Change since previous Census","Number","22391"
"Both sexes","Kildare","2006","Annual Rate of Population Increase","No. per 1000 Pop.","32.5"
"Both sexes","Kildare","2011","Population","Number","210312"
"Both sexes","Kildare","2011","Population Change since previous Census","Number","23977"
"Both sexes","Kildare","2011","Annual Rate of Population Increase","No. per 1000 Pop.","24.2"
"Both sexes","Kildare","2016","Population","Number","222504"
"Both sexes","Kildare","2016","Population Change since previous Census","Number","12192"
"Both sexes","Kildare","2016","Annual Rate of Population Increase","No. per 1000 Pop.","11.3"
"Both sexes","Kilkenny","1841","Population","Number","202420"
"Both sexes","Kilkenny","1841","Population Change since previous Census","Number",""
"Both sexes","Kilkenny","1841","Annual Rate of Population Increase","No. per 1000 Pop.",""
"Both sexes","Kilkenny","1851","Population","Number","158748"
"Both sexes","Kilkenny","1851","Population Change since previous Census","Number","-43672"
"Both sexes","Kilkenny","1851","Annual Rate of Population Increase","No. per 1000 Pop.","-24"
"Both sexes","Kilkenny","1861","Population","Number","124515"
"Both sexes","Kilkenny","1861","Population Change since previous Census","Number","-34233"
"Both sexes","Kilkenny","1861","Annual Rate of Population Increase","No. per 1000 Pop.","-24"
"Both sexes","Kilkenny","1871","Population","Number","109379"
"Both sexes","Kilkenny","1871","Population Change since previous Census","Number","-15136"
"Both sexes","Kilkenny","1871","Annual Rate of Population Increase","No. per 1000 Pop.","-12.9"
"Both sexes","Kilkenny","1881","Population","Number","99531"
"Both sexes","Kilkenny","1881","Population Change since previous Census","Number","-9848"
"Both sexes","Kilkenny","1881","Annual Rate of Population Increase","No. per 1000 Pop.","-9.4"
"Both sexes","Kilkenny","1891","Population","Number","87261"
"Both sexes","Kilkenny","1891","Population Change since previous Census","Number","-12270"
"Both sexes","Kilkenny","1891","Annual Rate of Population Increase","No. per 1000 Pop.","-13.1"
"Both sexes","Kilkenny","1901","Population","Number","79159"
"Both sexes","Kilkenny","1901","Population Change since previous Census","Number","-8102"
"Both sexes","Kilkenny","1901","Annual Rate of Population Increase","No. per 1000 Pop.","-9.7"
"Both sexes","Kilkenny","1911","Population","Number","74962"
"Both sexes","Kilkenny","1911","Population Change since previous Census","Number","-4197"
"Both sexes","Kilkenny","1911","Annual Rate of Population Increase","No. per 1000 Pop.","-5.4"
"Both sexes","Kilkenny","1926","Population","Number","70990"
"Both sexes","Kilkenny","1926","Population Change since previous Census","Number","-3972"
"Both sexes","Kilkenny","1926","Annual Rate of Population Increase","No. per 1000 Pop.","-3.6"
"Both sexes","Kilkenny","1936","Population","Number","68614"
"Both sexes","Kilkenny","1936","Population Change since previous Census","Number","-2376"
"Both sexes","Kilkenny","1936","Annual Rate of Population Increase","No. per 1000 Pop.","-3.4"
"Both sexes","Kilkenny","1946","Population","Number","66712"
"Both sexes","Kilkenny","1946","Population Change since previous Census","Number","-1902"
"Both sexes","Kilkenny","1946","Annual Rate of Population Increase","No. per 1000 Pop.","-2.8"
"Both sexes","Kilkenny","1951","Population","Number","65235"
"Both sexes","Kilkenny","1951","Population Change since previous Census","Number","-1477"
"Both sexes","Kilkenny","1951","Annual Rate of Population Increase","No. per 1000 Pop.","-4.5"
